,symbol,date,open,high,low,close,volume,adjusted
266,TSLA,1/24/2024,211.8800049,212.7299957,206.7700043,207.8300018,123369900,207.8300018
267,TSLA,1/25/2024,189.6999969,193,180.0599976,182.6300049,198076800,182.6300049
268,TSLA,1/26/2024,185.5,186.7799988,182.1000061,183.25,107343200,183.25
269,TSLA,1/29/2024,185.6300049,191.4799957,183.6699982,190.9299927,125013100,190.9299927
270,TSLA,1/30/2024,195.3300018,196.3600006,190.6100006,191.5899963,109982300,191.5899963
271,TSLA,1/31/2024,187,193.9700012,185.8500061,187.2899933,103221400,187.2899933
272,TSLA,2/1/2024,188.5,189.8800049,184.2799988,188.8600006,91843300,188.8600006
273,TSLA,2/2/2024,185.0399933,188.6900024,182,187.9100037,110505100,187.9100037
274,TSLA,2/5/2024,184.2599945,184.6799927,175.0099945,181.0599976,134294400,181.0599976
275,TSLA,2/6/2024,177.2100067,186.4900055,177.1100006,185.1000061,122676000,185.1000061
276,TSLA,2/7/2024,188.1799927,189.7899933,182.6799927,187.5800018,111535200,187.5800018
277,TSLA,2/8/2024,189,191.6199951,185.5800018,189.5599976,83034000,189.5599976
278,TSLA,2/9/2024,190.1799927,194.1199951,189.4799957,193.5700073,84476300,193.5700073
279,TSLA,2/12/2024,192.1100006,194.7299957,187.2799988,188.1300049,95498600,188.1300049
280,TSLA,2/13/2024,183.9900055,187.2599945,182.1100006,184.0200043,86759500,184.0200043
281,TSLA,2/14/2024,185.3000031,188.8899994,183.3500061,188.7100067,81203000,188.7100067
282,TSLA,2/15/2024,189.1600037,200.8800049,188.8600006,200.4499969,120831800,200.4499969
283,TSLA,2/16/2024,202.0599976,203.1699982,197.3999939,199.9499969,111173600,199.9499969
284,TSLA,2/20/2024,196.1300049,198.6000061,189.1300049,193.7599945,104545800,193.7599945
285,TSLA,2/21/2024,193.3600006,199.4400024,191.9499969,194.7700043,103844000,194.7700043
286,TSLA,2/22/2024,194,198.3200073,191.3600006,197.4100037,92739500,197.4100037
287,TSLA,2/23/2024,195.3099976,197.5700073,191.5,191.9700012,78841900,191.9700012
288,TSLA,2/26/2024,192.2899933,201.7799988,192,199.3999939,111747100,199.3999939
289,TSLA,2/27/2024,204.0399933,205.6000061,198.2599945,199.7299957,108645400,199.7299957
290,TSLA,2/28/2024,200.4199982,205.3000031,198.4400024,202.0399933,99806200,202.0399933
291,TSLA,2/29/2024,204.1799927,205.2799988,198.4499969,201.8800049,85907000,201.8800049
292,TSLA,3/1/2024,200.5200043,204.5200043,198.5,202.6399994,82099200,202.6399994
293,TSLA,3/4/2024,198.7299957,199.75,186.7200012,188.1399994,134334900,188.1399994
294,TSLA,3/5/2024,183.0500031,184.5899963,177.5700073,180.7400055,119660800,180.7400055
295,TSLA,3/6/2024,179.9900055,181.5800018,173.6999969,176.5399933,107920900,176.5399933
296,TSLA,3/7/2024,174.3500061,180.0399933,173.6999969,178.6499939,102129000,178.6499939
297,TSLA,3/8/2024,181.5,182.7299957,174.6999969,175.3399963,85315300,175.3399963
298,TSLA,3/11/2024,175.4499969,182.8699951,174.8000031,177.7700043,85391500,177.7700043
299,TSLA,3/12/2024,177.7700043,179.4299927,172.4100037,177.5399933,87391700,177.5399933
300,TSLA,3/13/2024,173.0500031,176.0500031,169.1499939,169.4799957,106524500,169.4799957
301,TSLA,3/14/2024,167.7700043,171.1699982,160.5099945,162.5,126325700,162.5
302,TSLA,3/15/2024,163.1600037,165.1799927,160.7599945,163.5700073,96971900,163.5700073
303,TSLA,3/18/2024,170.0200043,174.7200012,165.8999939,173.8000031,108214400,173.8000031
304,TSLA,3/19/2024,172.3600006,172.8200073,167.4199982,171.3200073,77271400,171.3200073
305,TSLA,3/20/2024,173,176.25,170.8200073,175.6600037,83846700,175.6600037
306,TSLA,3/21/2024,176.3899994,178.1799927,171.8000031,172.8200073,73178000,172.8200073
307,TSLA,3/22/2024,166.6900024,171.1999969,166.3000031,170.8300018,75454700,170.8300018
